ERROR: logging before flag.Parse: I0327 12:22:51.694667       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI} cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[memory:{i:{value:0 scale:0} d:{Dec:0xc4202646f0} s: Format:BinarySI} cpu:{i:{value:0 scale:0} d:{Dec:0xc420264510} s: Format:DecimalSI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420264510} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202646f0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:22:51.695485       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:01.699124       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6180} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a63c0} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6180} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a63c0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:01.699863       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:11.703160       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6360} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a6570} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4202a6360} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc4202a6570} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:11.703904       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:21.707240       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420265e90} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420318090} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420265e90} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420318090} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:21.708010       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:31.711492       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420264870} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420264b40} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc420264870} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420264b40} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:31.712406       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:41.721800       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42034e3c0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42034e5d0} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc42034e3c0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc42034e5d0} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:41.722502       1 nanny_lib.go:110] the server could not find the requested resource
ERROR: logging before flag.Parse: I0327 12:23:51.725438       1 nanny_lib.go:108] Resources are not within the expected limits, updating the deployment. Actual: {Limits:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}] Requests:map[cpu:{i:{value:51 scale:-3} d:{Dec:<nil>} s:51m Format:DecimalSI} memory:{i:{value:128974848 scale:0} d:{Dec:<nil>} s:123Mi Format:BinarySI}]} Expected: {Limits:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4203182d0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420318480} s: Format:BinarySI}] Requests:map[cpu:{i:{value:0 scale:0} d:{Dec:0xc4203182d0} s: Format:DecimalSI} memory:{i:{value:0 scale:0} d:{Dec:0xc420318480} s: Format:BinarySI}]}
ERROR: logging before flag.Parse: E0327 12:23:51.726114       1 nanny_lib.go:110] the server could not find the requested resource
